time	V(probe_1)	V(probe_2)	V(probe_3)
8.131835937500000e-09	-3.915429e-03	6.588622e-02	-4.537189e-03
8.141601562500000e-09	-3.808731e-03	6.388631e-02	-4.691447e-03
8.151367187500000e-09	-3.704066e-03	6.195050e-02	-4.852339e-03
8.161132812500000e-09	-3.605903e-03	6.005437e-02	-5.023225e-03
8.170898437500000e-09	-3.517328e-03	5.817058e-02	-5.206626e-03
8.180664062500000e-09	-3.439866e-03	5.627332e-02	-5.403645e-03
8.190429687500000e-09	-3.374369e-03	5.434227e-02	-5.613600e-03
8.200195312499999e-09	-3.322167e-03	5.236579e-02	-5.833938e-03
8.209960937499999e-09	-3.285613e-03	5.034251e-02	-6.060438e-03
8.219726562499999e-09	-3.267669e-03	4.828137e-02	-6.287655e-03
8.229492187499999e-09	-3.270796e-03	4.619996e-02	-6.509531e-03
8.239257812499999e-09	-3.295805e-03	4.412153e-02	-6.720042e-03
8.249023437499999e-09	-3.341278e-03	4.207118e-02	-6.913790e-03
8.258789062499999e-09	-3.403768e-03	4.007212e-02	-7.086411e-03
8.268554687499999e-09	-3.478565e-03	3.814240e-02	-7.234773e-03
8.278320312499999e-09	-3.560575e-03	3.629302e-02	-7.356925e-03
8.288085937499999e-09	-3.644954e-03	3.452735e-02	-7.451843e-03
8.297851562499998e-09	-3.727350e-03	3.284209e-02	-7.519056e-03
8.307617187499998e-09	-3.803916e-03	3.122929e-02	-7.558241e-03
8.317382812499998e-09	-3.871299e-03	2.967904e-02	-7.568919e-03
8.327148437499998e-09	-3.926768e-03	2.818227e-02	-7.550300e-03
8.336914062499998e-09	-3.968456e-03	2.673302e-02	-7.501356e-03
8.346679687499998e-09	-3.995544e-03	2.532988e-02	-7.421091e-03
8.356445312499998e-09	-4.008239e-03	2.397626e-02	-7.308961e-03
8.366210937499998e-09	-4.007479e-03	2.267953e-02	-7.165351e-03
8.375976562499998e-09	-3.994456e-03	2.144920e-02	-6.992000e-03
8.385742187499998e-09	-3.970142e-03	2.029455e-02	-6.792267e-03
8.395507812499998e-09	-3.934991e-03	1.922215e-02	-6.571156e-03
8.405273437499997e-09	-3.888914e-03	1.823389e-02	-6.335068e-03
8.415039062499997e-09	-3.831487e-03	1.732575e-02	-6.091299e-03
8.424804687499997e-09	-3.762278e-03	1.648779e-02	-5.847349e-03
8.434570312499997e-09	-3.681182e-03	1.570519e-02	-5.610140e-03
8.444335937499997e-09	-3.588662e-03	1.496024e-02	-5.385279e-03
8.454101562499997e-09	-3.485888e-03	1.423498e-02	-5.176485e-03
8.463867187499997e-09	-3.374757e-03	1.351380e-02	-4.985269e-03
8.473632812499997e-09	-3.257828e-03	1.278580e-02	-4.810932e-03
8.483398437499997e-09	-3.138168e-03	1.204629e-02	-4.650874e-03
8.493164062499997e-09	-3.019097e-03	1.129732e-02	-4.501149e-03
8.502929687499997e-09	-2.903839e-03	1.054700e-02	-4.357192e-03
8.512695312499996e-09	-2.795129e-03	9.807986e-03	-4.214570e-03
8.522460937499996e-09	-2.694834e-03	9.095173e-03	-4.069651e-03
8.532226562499996e-09	-2.603682e-03	8.423172e-03	-3.920070e-03
8.541992187499996e-09	-2.521165e-03	7.803945e-03	-3.764948e-03
8.551757812499996e-09	-2.445651e-03	7.245011e-03	-3.604818e-03
8.561523437499996e-09	-2.374673e-03	6.748494e-03	-3.441319e-03
8.571289062499996e-09	-2.305352e-03	6.311155e-03	-3.276715e-03
8.581054687499996e-09	-2.234858e-03	5.925321e-03	-3.113359e-03
8.590820312499996e-09	-2.160834e-03	5.580506e-03	-2.953196e-03
8.600585937499996e-09	-2.081715e-03	5.265389e-03	-2.797409e-03
8.610351562499995e-09	-1.996918e-03	4.969758e-03	-2.646275e-03
8.620117187499995e-09	-1.906862e-03	4.686069e-03	-2.499240e-03
8.629882812499995e-09	-1.812842e-03	4.410360e-03	-2.355198e-03
8.639648437499995e-09	-1.716770e-03	4.142383e-03	-2.212900e-03
8.649414062499995e-09	-1.620842e-03	3.884971e-03	-2.071406e-03
8.659179687499995e-09	-1.527162e-03	3.642827e-03	-1.930481e-03
8.668945312499995e-09	-1.437426e-03	3.420978e-03	-1.790849e-03
8.678710937499995e-09	-1.352689e-03	3.223241e-03	-1.654240e-03
8.688476562499995e-09	-1.273279e-03	3.050989e-03	-1.523225e-03
8.698242187499995e-09	-1.198854e-03	2.902476e-03	-1.400855e-03
8.708007812499995e-09	-1.128592e-03	2.772832e-03	-1.290173e-03
8.717773437499994e-09	-1.061456e-03	2.654730e-03	-1.193688e-03
