time	V(probe_1)	V(probe_2)	V(probe_3)
4.189410294684881e-09	-1.362382e-03	5.252457e-02	-2.434722e-03
4.199175919684881e-09	-1.337113e-03	5.051824e-02	-2.534678e-03
4.208941544684881e-09	-1.320460e-03	4.847534e-02	-2.636320e-03
4.218707169684881e-09	-1.314181e-03	4.641020e-02	-2.737012e-03
4.228472794684881e-09	-1.318860e-03	4.434327e-02	-2.834049e-03
4.238238419684881e-09	-1.333746e-03	4.229752e-02	-2.924935e-03
4.248004044684881e-09	-1.357151e-03	4.029462e-02	-3.007577e-03
4.257769669684880e-09	-1.387035e-03	3.835187e-02	-3.080376e-03
4.267535294684880e-09	-1.421418e-03	3.648034e-02	-3.142207e-03
4.277300919684880e-09	-1.458444e-03	3.468438e-02	-3.192303e-03
4.287066544684880e-09	-1.496240e-03	3.296253e-02	-3.230083e-03
4.296832169684880e-09	-1.532815e-03	3.130945e-02	-3.254986e-03
4.306597794684880e-09	-1.566187e-03	2.971833e-02	-3.266347e-03
4.316363419684880e-09	-1.594687e-03	2.818340e-02	-3.263368e-03
4.326129044684880e-09	-1.617259e-03	2.670183e-02	-3.245193e-03
4.335894669684880e-09	-1.633553e-03	2.527481e-02	-3.211074e-03
4.345660294684880e-09	-1.643755e-03	2.390744e-02	-3.160615e-03
4.355425919684879e-09	-1.648245e-03	2.260761e-02	-3.094014e-03
4.365191544684879e-09	-1.647298e-03	2.138394e-02	-3.012266e-03
4.374957169684879e-09	-1.640937e-03	2.024342e-02	-2.917278e-03
4.384722794684879e-09	-1.628978e-03	1.918924e-02	-2.811835e-03
4.394488419684879e-09	-1.611173e-03	1.821924e-02	-2.699431e-03
4.404254044684879e-09	-1.587349e-03	1.732536e-02	-2.583963e-03
4.414019669684879e-09	-1.557473e-03	1.649434e-02	-2.469346e-03
4.423785294684879e-09	-1.521679e-03	1.570930e-02	-2.359091e-03
4.433550919684879e-09	-1.480293e-03	1.495220e-02	-2.255929e-03
4.443316544684879e-09	-1.433909e-03	1.420644e-02	-2.161542e-03
4.453082169684879e-09	-1.383462e-03	1.345936e-02	-2.076439e-03
4.462847794684878e-09	-1.330262e-03	1.270406e-02	-2.000003e-03
4.472613419684878e-09	-1.275930e-03	1.194018e-02	-1.930700e-03
4.482379044684878e-09	-1.222204e-03	1.117372e-02	-1.866398e-03
4.492144669684878e-09	-1.170702e-03	1.041559e-02	-1.804764e-03
4.501910294684878e-09	-1.122677e-03	9.679615e-03	-1.743639e-03
4.511675919684878e-09	-1.078863e-03	8.979945e-03	-1.681356e-03
4.521441544684878e-09	-1.039421e-03	8.328688e-03	-1.616936e-03
4.531207169684878e-09	-1.003974e-03	7.733993e-03	-1.550140e-03
4.540972794684878e-09	-9.717074e-04	7.198985e-03	-1.481384e-03
4.550738419684878e-09	-9.415094e-04	6.721658e-03	-1.411539e-03
4.560504044684878e-09	-9.121306e-04	6.295694e-03	-1.341672e-03
4.570269669684877e-09	-8.823619e-04	5.911982e-03	-1.272779e-03
4.580035294684877e-09	-8.512113e-04	5.560492e-03	-1.205569e-03
4.589800919684877e-09	-8.180508e-04	5.232132e-03	-1.140340e-03
4.599566544684877e-09	-7.827022e-04	4.920216e-03	-1.076971e-03
4.609332169684877e-09	-7.454353e-04	4.621288e-03	-1.015014e-03
4.619097794684877e-09	-7.068805e-04	4.335169e-03	-9.538871e-04
4.628863419684877e-09	-6.678798e-04	4.064277e-03	-8.930852e-04
4.638629044684877e-09	-6.293156e-04	3.812404e-03	-8.323957e-04
4.648394669684877e-09	-5.919572e-04	3.583231e-03	-7.720455e-04
4.658160294684877e-09	-5.563523e-04	3.378929e-03	-7.127541e-04
4.667925919684876e-09	-5.227756e-04	3.199149e-03	-6.556765e-04
4.677691544684876e-09	-4.912337e-04	3.040600e-03	-6.022428e-04
4.687457169684876e-09	-4.615169e-04	2.897323e-03	-5.539231e-04
4.697222794684876e-09	-4.332891e-04	2.761582e-03	-5.119643e-04
4.706988419684876e-09	-4.061952e-04	2.625189e-03	-4.771474e-04
4.716754044684876e-09	-3.799698e-04	2.480995e-03	-4.496153e-04
4.726519669684876e-09	-3.545216e-04	2.324238e-03	-4.288034e-04
4.736285294684876e-09	-3.299750e-04	2.153475e-03	-4.134892e-04
4.746050919684876e-09	-3.066550e-04	1.970915e-03	-4.019541e-04
4.755816544684876e-09	-2.850205e-04	1.782085e-03	-3.922270e-04
4.765582169684876e-09	-2.655592e-04	1.594885e-03	-3.823687e-04
4.775347794684875e-09	-2.486696e-04	1.418218e-03	-3.707458e-04
4.785113419684875e-09	-2.345567e-04	1.260460e-03	-3.562465e-04
4.794879044684875e-09	-2.231624e-04	1.128036e-03	-3.384038e-04
4.804644669684875e-09	-2.141445e-04	1.024385e-03	-3.174067e-04
4.814410294684875e-09	-2.069072e-04	9.494749e-04	-2.940035e-04
4.824175919684875e-09	-2.006776e-04	8.999400e-04	-2.693201e-04
4.833941544684875e-09	-1.946150e-04	8.697984e-04	-2.446286e-04
4.843707169684875e-09	-1.879350e-04	8.515818e-04	-2.211138e-04
4.853472794684875e-09	-1.800276e-04	8.376581e-04	-1.996777e-04
4.863238419684875e-09	-1.705463e-04	8.214866e-04	-1.808164e-04
4.873004044684875e-09	-1.594541e-04	7.985808e-04	-1.645881e-04
4.882769669684874e-09	-1.470169e-04	7.670128e-04	-1.506695e-04
4.892535294684874e-09	-1.337453e-04	7.273931e-04	-1.384846e-04
4.902300919684874e-09	-1.202994e-04	6.823656e-04	-1.273738e-04
4.912066544684874e-09	-1.073723e-04	6.357452e-04	-1.167661e-04
4.921832169684874e-09	-9.557637e-05	5.914965e-04	-1.063183e-04
4.931597794684874e-09	-8.535218e-05	5.527652e-04	-9.599245e-05
4.941363419684874e-09	-7.691291e-05	5.211621e-04	-8.605802e-05
4.951129044684874e-09	-7.023333e-05	4.964318e-04	-7.702068e-05
4.960894669684874e-09	-6.508113e-05	4.765593e-04	-6.949384e-05
4.970660294684874e-09	-6.108223e-05	4.582736e-04	-6.404198e-05
4.980425919684874e-09	-5.780609e-05	4.378293e-04	-6.102917e-05
4.990320035630254e-09	-5.481900e-05	4.135288e-04	-5.995042e-05
4.991519284453804e-09	-5.447150e-05	4.098609e-04	-6.007765e-05
4.992889854537861e-09	-5.407198e-05	4.054650e-04	-6.027429e-05
4.995630994705975e-09	-5.326367e-05	3.960817e-04	-6.080243e-05
5.000000000000000e-09	-5.195996e-05	3.802496e-04	-6.183452e-05
5.000436900529403e-09	-5.182670e-05	3.785234e-04	-6.196615e-05
5.001310701588208e-09	-5.155875e-05	3.750176e-04	-6.223838e-05
5.003058303705818e-09	-5.101262e-05	3.677514e-04	-6.282240e-05
5.006553507941038e-09	-4.980155e-05	3.522606e-04	-6.411114e-05
5.013543916411478e-09	-4.627858e-05	3.186772e-04	-6.687814e-05
5.023309541411478e-09	-3.699656e-05	2.688135e-04	-7.058172e-05
5.033075166411478e-09	-1.913355e-05	2.192097e-04	-7.338619e-05
5.041830950944109e-09	8.385712e-06	1.808681e-04	-7.428697e-05
5.051214115478886e-09	5.153743e-05	1.555112e-04	-7.283093e-05
5.060658975461916e-09	1.067925e-04	1.585325e-04	-6.846800e-05
5.070424600461916e-09	1.722069e-04	2.079959e-04	-6.075597e-05
5.080190225461916e-09	2.417758e-04	3.227907e-04	-5.006379e-05
5.089955850461915e-09	3.132380e-04	5.122749e-04	-3.711793e-05
5.096162731964175e-09	3.599365e-04	6.858801e-04	-2.804371e-05
5.103948811088515e-09	4.212871e-04	9.760440e-04	-1.644834e-05
5.113186207596051e-09	4.987176e-04	1.409213e-03	-3.763391e-06
5.122951832596051e-09	5.859503e-04	1.967358e-03	6.787581e-06
5.132717457596050e-09	6.771280e-04	2.619923e-03	1.237835e-05
5.142483082596050e-09	7.693776e-04	3.349670e-03	1.086738e-05
5.152248707596050e-09	8.597411e-04	4.132835e-03	3.415006e-07
5.162014332596050e-09	9.461349e-04	4.943650e-03	-2.069822e-05
5.171779957596050e-09	1.027316e-03	5.757614e-03	-5.314704e-05
5.181545582596050e-09	1.102189e-03	6.554614e-03	-9.715642e-05
5.191311207596050e-09	1.169139e-03	7.321494e-03	-1.520634e-04
5.201076832596050e-09	1.225975e-03	8.053656e-03	-2.163992e-04
5.210842457596050e-09	1.270521e-03	8.755409e-03	-2.879752e-04
5.220608082596050e-09	1.301441e-03	9.438979e-03	-3.640335e-04
5.230373707596050e-09	1.318753e-03	1.012239e-02	-4.414405e-04
5.240139332596049e-09	1.323748e-03	1.082665e-02	-5.168970e-04
5.249904957596049e-09	1.318461e-03	1.157284e-02	-5.871365e-04
5.259670582596049e-09	1.305083e-03	1.237963e-02	-6.490918e-04
5.269436207596049e-09	1.285651e-03	1.326150e-02	-7.000147e-04
5.279201832596049e-09	1.262086e-03	1.422806e-02	-7.375486e-04
5.288967457596049e-09	1.236393e-03	1.528413e-02	-7.597640e-04
5.298733082596049e-09	1.210748e-03	1.643062e-02	-7.651728e-04
5.308498707596049e-09	1.187352e-03	1.766587e-02	-7.527400e-04
5.318264332596049e-09	1.168119e-03	1.898714e-02	-7.219069e-04
5.328029957596049e-09	1.154411e-03	2.039185e-02	-6.726321e-04
5.337795582596049e-09	1.146968e-03	2.187844e-02	-6.054458e-04
5.347561207596048e-09	1.146081e-03	2.344653e-02	-5.215030e-04
5.357326832596048e-09	1.151856e-03	2.509648e-02	-4.226177e-04
5.367092457596048e-09	1.164406e-03	2.682842e-02	-3.112514e-04
5.376858082596048e-09	1.183891e-03	2.864104e-02	-1.904428e-04
5.386623707596048e-09	1.210405e-03	3.053053e-02	-6.366330e-05
5.396389332596048e-09	1.243840e-03	3.248990e-02	6.539421e-05
5.406154957596048e-09	1.283810e-03	3.450896e-02	1.930808e-04
5.415920582596048e-09	1.329672e-03	3.657493e-02	3.160795e-04
5.425686207596048e-09	1.380588e-03	3.867370e-02	4.316798e-04
5.435451832596048e-09	1.435581e-03	4.079146e-02	5.379994e-04
5.445217457596047e-09	1.493533e-03	4.291648e-02	6.341196e-04
5.454983082596047e-09	1.553164e-03	4.504064e-02	7.201122e-04
5.464748707596047e-09	1.613044e-03	4.716056e-02	7.969526e-04
5.474514332596047e-09	1.671679e-03	4.927798e-02	8.663312e-04
5.484279957596047e-09	1.728074e-03	5.139769e-02	9.306136e-04
5.490234375000001e-09	1.760450e-03	5.269698e-02	9.679768e-04
5.500000000000000e-09	1.810808e-03	5.484028e-02	1.027940e-03
5.502929687500000e-09	1.824663e-03	5.549116e-02	1.045870e-03
5.506835937500001e-09	1.842196e-03	5.636611e-02	1.070032e-03
5.514648437500000e-09	1.873737e-03	5.813906e-02	1.119371e-03
5.524414062500000e-09	1.905041e-03	6.039789e-02	1.183134e-03
5.534179687500000e-09	1.923343e-03	6.271074e-02	1.249635e-03
5.543945312500000e-09	1.925065e-03	6.508001e-02	1.318926e-03
5.553710937500000e-09	1.910225e-03	6.749831e-02	1.390455e-03
5.563476562500000e-09	1.882566e-03	6.995019e-02	1.463321e-03
5.573242187500000e-09	1.847775e-03	7.241298e-02	1.536473e-03
5.583007812500000e-09	1.810691e-03	7.485922e-02	1.608933e-03
5.592773437500000e-09	1.773374e-03	7.726064e-02	1.680005e-03
5.602539062499999e-09	1.735148e-03	7.959265e-02	1.749440e-03
5.612304687499999e-09	1.694255e-03	8.183833e-02	1.817538e-03
5.622070312499999e-09	1.649772e-03	8.399123e-02	1.885141e-03
5.631835937499999e-09	1.602527e-03	8.605602e-02	1.953527e-03
5.641601562499999e-09	1.554646e-03	8.804737e-02	2.024204e-03
5.651367187499999e-09	1.508359e-03	8.998731e-02	2.098653e-03
5.661132812499999e-09	1.465076e-03	9.190143e-02	2.178049e-03
5.670898437499999e-09	1.425351e-03	9.381491e-02	2.263025e-03
5.680664062499999e-09	1.389582e-03	9.574856e-02	2.353514e-03
5.690429687499999e-09	1.358786e-03	9.771578e-02	2.448699e-03
5.700195312499999e-09	1.334795e-03	9.972063e-02	2.547081e-03
5.709960937499998e-09	1.319741e-03	1.017577e-01	2.646632e-03
5.719726562499998e-09	1.315178e-03	1.038132e-01	2.745023e-03
5.729492187499998e-09	1.321431e-03	1.058680e-01	2.839861e-03
5.739257812499998e-09	1.337530e-03	1.079009e-01	2.928905e-03
5.749023437499998e-09	1.361656e-03	1.098917e-01	3.010222e-03
